Column1,State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
0,GA,Brooks,36,0,3,0,33,155,43,100,12,0
1,GA,Bryan,37,1,3,1,32,330,62,253,15,0
2,GA,Burke,22,0,2,6,14,289,65,202,22,0
3,GA,Butts,65,2,2,10,51,267,32,217,18,1
4,GA,Carroll,167,0,24,9,134,1289,390,755,144,4
5,GA,Cherokee,97,0,12,13,72,1307,201,1006,100,0
6,GA,Clayton,14,0,0,0,14,5,0,4,1,0
8,GA,Cobb,2,0,0,0,2,25,0,25,0,0
10,GA,Columbia,53,1,7,9,36,1816,164,1551,101,1
11,GA,Coweta3,91,1,12,19,59,1052,234,735,83,2
12,GA,Crawford,22,0,2,2,18,210,56,137,17,0
13,GA,Dawson,32,0,5,1,26,433,71,336,26,1
14,GA,DeKalb,0,0,0,0,0,0,0,0,0,0
16,GA,Dougherty,0,0,0,0,0,119,0,119,0,0
18,GA,Echols3,1,0,0,0,1,43,15,26,2,0
19,GA,Effingham,40,0,3,2,35,351,157,140,54,0
20,GA,Fayette,37,0,9,5,23,503,88,379,36,3
21,GA,Forsyth,106,1,25,9,71,1840,266,1494,80,1
22,GA,Fulton,9,0,0,0,9,4,0,4,0,0
24,GA,Glynn,0,0,0,0,0,0,0,0,0,0
27,GA,Hall,240,3,54,26,157,1561,327,1015,219,29
28,GA,Haralson,145,0,7,1,137,477,154,272,51,
29,GA,Heard,18,0,1,1,16,107,22,63,22,0
30,GA,Henry,0,0,0,0,0,78,0,78,0,
32,GA,Houston,117,0,10,9,98,1002,161,792,49,3
33,GA,Jasper,63,0,0,2,61,174,26,141,7,0
34,GA,Jones,22,0,2,3,17,262,62,179,21,3
35,GA,Lamar,22,0,2,0,20,114,25,71,18,0
36,GA,Lanier,36,0,2,1,33,164,31,120,13,0
37,GA,Lee,56,0,5,4,47,516,76,419,21,0
38,GA,Liberty,164,3,1,5,155,232,60,147,25,0
39,GA,Long,16,1,5,1,9,151,61,76,14,0
40,GA,Madison,90,0,3,3,84,405,60,311,34,0
41,GA,Marion,4,0,0,0,4,39,8,31,0,0
42,GA,McDuffie,50,3,4,3,40,196,80,100,16,
43,GA,McIntosh,35,2,3,4,26,247,53,176,18,1
44,GA,Meriwether,51,3,0,1,47,287,56,214,17,0
45,GA,Monroe,22,0,2,2,18,314,64,231,19,0
46,GA,Murray,36,0,0,1,35,56,10,38,8,1
47,GA,Muscogee,56,0,0,1,55,33,1,30,2,0
48,GA,Newton,305,4,14,36,251,1565,327,974,264,13
