State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
AR,Benton,136,2,33,4,97,413,136,234,43,2
AR,Cleveland,16,2,4,0,10,83,45,37,1,1
AR,Craighead,56,0,14,3,39,351,138,178,35,2
AR,Crawford,37,0,9,1,27,264,46,189,29,0
AR,Crittenden,120,5,11,8,96,306,75,194,37,5
AR,Faulkner,81,2,10,3,66,794,202,492,100,12
AR,Garland,352,0,35,14,303,1591,666,785,140,0
AR,Grant,31,0,6,0,25,140,30,94,16,2
AR,Jefferson,67,3,15,4,45,412,151,212,49,12
AR,Lincoln,9,0,4,0,5,61,15,40,6,0
AR,Little River,21,0,3,0,18,89,23,48,18,3
AR,Lonoke,78,0,16,4,58,385,69,232,84,2
AR,Miller2,35,0,8,0,27,,,149,22,1
AR,Perry,16,0,5,0,11,137,16,121,0,0
AR,Pulaski,345,1,18,26,300,1688,404,1088,196,13
AR,Saline,193,0,40,12,141,843,326,395,122,7
AR,Sebastian,53,0,9,1,43,212,80,122,10,2
AR,Washington2,,,21,1,149,509,167,272,70,2
AR,Arkansas,11,1,0,0,10,78,22,43,13,1
AR,Ashley,17,2,5,2,8,212,56,128,28,5
AR,Baxter,64,0,14,1,49,606,60,502,44,3
AR,Boone,207,0,66,1,140,244,65,144,35,2
AR,Bradley,14,0,4,0,10,37,15,15,7,1
AR,Calhoun,3,0,0,0,3,50,7,38,5,0
AR,Carroll,41,1,1,0,39,213,64,116,33,4
AR,Chicot,4,0,0,0,4,96,34,62,0,0
AR,Clark,39,0,4,0,35,46,17,26,3,0
AR,Clay,7,0,3,0,4,53,16,34,3,0
AR,Cleburne,122,3,8,2,109,302,94,189,19,5
AR,Columbia,20,1,0,2,17,71,22,41,8,1
AR,Conway,53,0,14,3,36,274,48,200,26,6
AR,Cross,33,0,3,0,30,131,23,97,11,0
AR,Drew,19,0,4,2,13,88,28,47,13,1
AR,Fulton,28,0,4,0,24,57,0,48,9,6
AR,Greene,26,0,3,0,23,180,49,107,24,2
AR,Hempstead,54,0,5,0,49,121,32,74,15,0
AR,Howard,23,0,4,3,16,45,24,19,2,0
AR,Independence,195,3,38,4,150,439,149,235,55,18
AR,Izard,48,1,18,0,29,282,76,191,15,11
AR,Jackson,26,0,6,0,20,128,3,97,28,3
AR,Johnson,36,2,1,2,31,165,60,77,28,0
AR,Lee,10,0,2,0,8,106,17,74,15,0
AR,Logan,11,0,2,0,9,138,22,98,18,1
AR,Marion,87,2,18,0,67,292,100,182,10,1
AR,Mississippi,31,1,5,1,24,249,74,132,43,0
AR,Montgomery,9,0,4,0,5,92,41,49,2,0
AR,Newton,27,0,3,0,24,32,17,13,2,3
AR,Pike,1,0,0,0,1,60,26,32,2,1
AR,Polk,41,0,7,0,34,69,22,44,3,0
AR,Pope,50,2,12,0,36,287,87,173,27,2
AR,Prairie,3,0,0,0,3,58,18,33,7,0
AR,Scott,24,0,4,0,20,67,31,33,3,0
AR,Searcy,23,1,6,0,16,30,9,17,4,1
AR,Sevier,19,0,5,0,14,103,32,64,7,3
AR,St. Francis,22,0,4,2,16,277,67,210,0,1
AR,Union,51,1,4,4,42,278,43,197,38,3
AR,White,190,2,54,3,131,668,193,383,92,14
AR,Woodruff,11,0,2,0,9,50,15,21,14,2
AR,Yell,44,1,9,3,31,178,53,101,24,2
