State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
CA,Alameda,670,7,35,223,405,2064,385,1192,487,23
CA,Butte,327,3,32,31,261,1394,588,757,49,2
CA,Contra Costa,300,4,25,111,160,1462,376,1062,24,10
CA,El Dorado,239,2,55,27,155,1991,526,1432,33,5
CA,Fresno,1534,7,39,101,1387,3395,1546,1245,604,136
CA,Imperial,241,3,13,15,210,721,174,456,91,21
CA,Kern,2423,50,177,420,1776,9472,2781,4622,2069,300
CA,Kings,133,2,19,12,100,462,158,281,23,7
CA,Los Angeles,5790,73,291,1457,3969,15912,3397,8676,3839,232
CA,Madera,453,3,32,16,402,1138,469,640,29,7
CA,Marin,96,2,9,15,70,685,128,548,9,5
CA,Merced,608,5,25,44,534,1434,439,950,45,5
CA,Monterey,253,2,32,51,168,1331,354,935,42,9
CA,Napa,72,1,9,3,59,222,62,152,8,0
CA,Orange,310,1,36,17,256,1089,197,747,145,16
CA,Placer,223,1,27,31,164,1284,353,878,53,4
CA,Riverside,829,16,45,167,601,7529,1507,4578,1444,17
CA,Sacramento,2351,28,195,617,1511,7909,2119,5586,204,75
CA,San Benito,51,0,4,8,39,152,62,83,7,0
CA,San Bernardino,1054,13,139,179,723,4809,1357,2329,1123,65
CA,San Diego,1523,13,114,225,1171,4533,950,2768,815,48
CA,San Joaquin,757,6,29,179,543,2729,779,1823,127,19
CA,San Luis Obispo,115,1,23,7,84,1083,394,670,19,4
CA,San Mateo,310,3,77,78,152,2840,335,2124,381,11
CA,Santa Barbara,229,3,25,22,179,1208,336,848,24,3
CA,Santa Clara,321,1,41,31,248,1421,213,974,234,0
CA,Santa Cruz,297,3,34,45,215,1807,432,1354,21,10
CA,Shasta,477,10,44,19,404,972,477,446,49,40
CA,Solano,147,2,11,14,120,396,153,140,103,14
CA,Sonoma,516,4,64,42,406,1080,340,734,6,13
CA,Stanislaus,435,13,31,133,258,1735,614,1053,68,18
CA,Sutter,64,0,8,2,54,591,184,367,40,1
CA,Tulare2,372,13,40,60,259,1976,627,1349,0,0
CA,Ventura,141,3,19,21,98,697,154,473,70,7
CA,Yolo,81,2,7,7,65,287,82,194,11,2
CA,Yuba,225,7,28,45,145,912,338,560,14,21
CA,Alpine,12,0,2,1,9,27,11,16,0,0
CA,Amador,83,3,8,5,67,338,78,258,2,4
CA,Calaveras,187,2,27,14,144,615,217,376,22,0
CA,Colusa,24,2,7,5,10,185,68,114,3,1
CA,Del Norte,102,1,20,12,69,299,130,163,6,4
CA,Glenn,55,1,9,7,38,444,132,276,36,3
CA,Humboldt,240,7,17,52,164,899,338,538,23,16
CA,Inyo,80,0,6,4,70,139,58,80,1,3
CA,Lake,201,4,13,20,164,490,278,206,6,10
CA,Lassen,57,0,6,3,48,224,109,113,2,7
CA,Mariposa,67,0,7,1,59,192,41,147,4,0
CA,Mendocino,213,5,21,28,159,383,199,178,6,13
CA,Modoc,27,0,3,1,23,41,15,24,2,1
CA,Mono,22,0,6,0,16,45,8,36,1,1
CA,Nevada,150,2,16,5,127,423,211,205,7,1
CA,Plumas,130,0,14,4,112,312,139,165,8,3
CA,Sierra,5,0,1,0,4,22,9,11,2,0
CA,Siskiyou,73,2,6,0,65,172,101,56,15,0
CA,Tehama,62,1,12,6,43,452,197,244,11,5
CA,Trinity,77,2,11,7,57,194,89,102,3,6
CA,Tuolumne,169,2,52,11,104,555,272,271,12,3
