State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
CO,Arapahoe,350,2,66,33,249,1865,322,1252,291,28
CO,Boulder,78,1,16,6,55,672,149,462,61,4
CO,Clear Creek,24,0,4,0,20,56,11,37,8,8
CO,Douglas,366,1,131,20,214,2489,373,1829,287,26
CO,Elbert,19,0,1,0,18,3,0,1,2,0
CO,El Paso,588,10,147,41,390,2368,431,1590,347,25
CO,Gilpin,36,0,5,2,29,86,18,62,6,2
CO,Larimer,153,1,33,6,113,903,195,626,82,9
CO,Mesa,146,1,27,7,111,1017,206,717,94,20
CO,Pueblo,52,1,1,14,36,1116,227,727,162,4
CO,Teller,31,1,9,1,20,104,37,61,6,5
CO,Weld,155,1,26,4,124,716,208,386,122,6
CO,Archuleta,49,1,2,2,44,94,25,63,6,6
CO,Baca,3,0,0,0,3,2,2,0,0,0
CO,Bent,32,1,2,0,29,187,76,102,9,1
CO,Chaffee,11,0,2,0,9,60,18,35,7,0
CO,Cheyenne,0,0,0,0,0,1,0,1,0,0
CO,Conejos,5,0,0,1,4,31,28,0,3,0
CO,Crowley,11,0,0,1,10,42,14,23,5,0
CO,Custer,19,0,0,0,19,69,9,57,3,2
CO,Delta,34,3,14,0,17,193,65,106,22,2
CO,Dolores,1,0,1,0,0,24,17,6,1,1
CO,Fremont,44,0,9,2,33,265,72,150,43,3
CO,Garfield,63,3,19,0,41,209,41,142,26,8
CO,Grand,9,0,0,0,9,47,13,32,2,2
CO,Gunnison,8,0,0,0,8,25,2,21,2,0
CO,Hinsdale,1,0,1,0,0,4,0,4,0,0
CO,Huerfano,20,3,1,2,14,119,35,75,9,5
CO,Jackson,1,0,0,0,1,5,1,3,1,0
CO,Kit Carson,7,0,2,1,4,41,11,27,3,0
CO,Lake,11,0,0,1,10,36,4,29,3,0
CO,La Plata,76,1,25,0,50,202,57,119,26,2
CO,Logan,13,0,6,0,7,91,24,49,18,2
CO,Mineral,1,0,0,0,1,0,0,0,0,0
CO,Moffat,4,0,0,0,4,28,6,22,0,0
CO,Montezuma,29,0,5,1,23,130,36,80,14,3
CO,Montrose,24,0,5,0,19,215,64,129,22,1
CO,Morgan,42,1,1,0,40,83,18,50,15,0
CO,Otero,4,0,0,0,4,104,47,43,14,0
CO,Pitkin,4,0,2,0,2,39,2,36,1,0
CO,Prowers,5,0,1,2,2,7,1,3,3,0
CO,Routt,13,0,4,0,9,45,14,28,3,1
CO,San Juan,1,0,0,0,1,3,0,2,1,0
CO,San Miguel,3,0,0,0,3,3,1,0,2,1
CO,Sedgwick,0,0,0,0,0,5,2,2,1,0
CO,Washington,2,0,2,0,0,56,4,47,5,0
