State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
FL,Alachua,734,7,106,105,516,1938,545,1257,136,18
FL,Baker,94,2,5,7,80,287,49,214,24,1
FL,Bay,327,2,36,24,265,2124,517,1430,177,4
FL,Brevard,642,4,46,74,518,3691,754,2636,301,14
FL,Broward,300,5,18,66,211,722,113,528,81,1
FL,Charlotte,350,2,31,17,300,1763,227,1434,102,6
FL,Citrus,345,2,19,42,282,2102,369,1504,229,8
FL,Clay,574,2,94,87,391,3115,594,2295,226,14
FL,Collier,898,9,109,138,642,3762,505,3042,215,4
FL,Escambia,1419,11,187,237,984,7580,1502,5508,570,6
FL,Flagler,195,3,28,9,155,1244,164,1021,59,2
FL,Gadsden,104,0,14,5,85,247,112,121,14,3
FL,Gilchrist,22,0,3,1,18,115,56,53,6,1
FL,Hernando,466,6,77,50,333,2855,490,2169,196,23
FL,Highlands,220,2,37,30,151,1854,456,1319,79,8
FL,Hillsborough,1849,35,245,298,1271,12516,1889,9520,1107,47
FL,Indian River,250,9,27,36,178,1622,277,1260,85,2
FL,Jefferson,78,1,4,4,69,219,91,109,19,1
FL,Lake,504,3,83,52,366,2603,660,1662,281,9
FL,Lee,1272,26,202,257,787,5647,1000,4023,624,42
FL,Leon,367,4,33,40,290,1926,331,1483,112,10
FL,Levy,472,1,22,2,447,592,274,243,75,0
FL,Manatee,1335,18,132,203,982,5156,821,3969,366,10
FL,Marion,1040,21,182,85,752,4185,1113,2623,449,6
FL,Martin,346,3,74,69,200,1632,206,1371,55,5
FL,Miami-Dade,5362,80,453,1207,3622,32805,3322,25946,3537,46
FL,Nassau,182,2,17,6,157,1004,380,530,94,8
FL,Okaloosa,532,7,77,29,419,2718,375,2155,188,0
FL,Orange,4803,51,467,1084,3201,21318,3588,15801,1929,0
FL,Osceola,706,12,102,86,506,4385,990,3180,215,3
FL,Palm Beach,1691,23,233,354,1081,10754,1420,8244,1090,38
FL,Pasco,1468,9,223,219,1017,6768,1134,5069,565,29
FL,Pinellas,525,6,111,94,314,4414,553,3566,295,17
FL,Polk,1205,15,83,100,1007,5437,1196,3677,564,4
FL,Santa Rosa,235,1,54,13,167,1513,336,1079,98,5
FL,Sarasota,466,3,20,53,390,4182,605,3381,196,9
FL,Seminole,538,8,99,50,381,2573,491,1922,160,3
FL,St. Johns,257,4,27,24,202,2249,304,1767,178,2
FL,St. Lucie,282,9,48,35,190,1312,249,976,87,1
FL,Sumter,191,7,18,13,153,861,184,580,97,3
FL,Volusia,570,9,88,94,379,2801,613,1933,255,21
FL,Wakulla,57,1,5,5,46,526,127,372,27,1
FL,Walton,117,3,18,2,94,935,225,633,77,1
FL,Bradford,50,1,6,4,39,231,81,123,27,0
FL,Calhoun,17,2,0,0,15,71,26,39,6,0
FL,Columbia,134,4,17,11,102,858,356,468,34,3
FL,DeSoto,96,0,7,16,73,586,204,340,42,2
FL,Dixie,72,1,8,1,62,169,106,48,15,4
FL,Franklin,52,1,3,1,47,209,42,166,1,0
FL,Glades,26,0,2,1,23,126,33,84,9,0
FL,Gulf,37,0,2,0,35,121,42,72,7,0
FL,Hamilton,39,1,2,2,34,183,56,120,7,0
FL,Hardee,49,0,6,6,37,300,97,170,33,0
FL,Hendry,153,1,11,23,118,655,203,414,38,3
FL,Holmes,48,0,3,0,45,170,50,108,12,0
FL,Jackson,91,1,19,3,68,717,146,527,44,0
FL,Lafayette,22,0,0,0,22,39,17,19,3,3
FL,Liberty,9,0,3,0,6,47,13,28,6,0
FL,Madison,137,0,13,3,121,173,71,99,3,0
FL,Monroe,163,2,11,13,137,840,110,688,42,3
FL,Okeechobee,181,1,18,15,147,928,188,661,79,0
FL,Putnam,136,4,20,20,92,1033,263,716,54,3
FL,Suwannee,112,1,14,6,91,443,154,266,23,0
FL,Taylor,151,0,10,2,139,221,115,86,20,1
FL,Union,33,0,2,3,28,67,29,36,2,1
FL,Washington,33,1,2,3,27,185,78,94,13,0
