State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
GA,Brooks,36,0,3,0,33,155,43,100,12,0
GA,Bryan,37,1,3,1,32,330,62,253,15,0
GA,Burke,22,0,2,6,14,289,65,202,22,0
GA,Butts,65,2,2,10,51,267,32,217,18,1
GA,Carroll,167,0,24,9,134,1289,390,755,144,4
GA,Cherokee,97,0,12,13,72,1307,201,1006,100,0
GA,Clayton,14,0,0,0,14,5,0,4,1,0
GA,Clayton County Police Department,1388,37,182,465,704,8263,1979,5064,1220,24
GA,Cobb,2,0,0,0,2,25,0,25,0,0
GA,Cobb County Police Department,1136,8,126,372,630,9693,1387,7442,864,29
GA,Columbia,53,1,7,9,36,1816,164,1551,101,1
GA,Coweta3,91,1,12,19,59,1052,234,735,83,2
GA,Crawford,22,0,2,2,18,210,56,137,17,0
GA,Dawson,32,0,5,1,26,433,71,336,26,1
GA,DeKalb,0,0,0,0,0,0,0,0,0,0
GA,DeKalb County Police Department,3085,82,170,1234,1599,21426,4407,13825,3194,107
GA,Dougherty,0,0,0,0,0,119,0,119,0,0
GA,Dougherty County Police Department,29,1,2,8,18,327,103,209,15,0
GA,Echols3,1,0,0,0,1,43,15,26,2,0
GA,Effingham,40,0,3,2,35,351,157,140,54,0
GA,Fayette,37,0,9,5,23,503,88,379,36,3
GA,Forsyth,106,1,25,9,71,1840,266,1494,80,1
GA,Fulton,9,0,0,0,9,4,0,4,0,0
GA,Fulton County Police Department3,256,5,10,77,164,1510,182,1040,288,1
GA,Glynn,0,0,0,0,0,0,0,0,0,0
GA,Glynn County Police Department,192,3,22,46,121,1635,331,1184,120,4
GA,Gwinnett County Police Department,1605,30,173,583,819,14551,2450,10631,1470,38
GA,Hall,240,3,54,26,157,1561,327,1015,219,29
GA,Haralson,145,0,7,1,137,477,154,272,51,
GA,Heard,18,0,1,1,16,107,22,63,22,0
GA,Henry,0,0,0,0,0,78,0,78,0,
GA,Henry County Police Department,300,4,44,87,165,3589,572,2608,409,3
GA,Houston,117,0,10,9,98,1002,161,792,49,3
GA,Jasper,63,0,0,2,61,174,26,141,7,0
GA,Jones,22,0,2,3,17,262,62,179,21,3
GA,Lamar,22,0,2,0,20,114,25,71,18,0
GA,Lanier,36,0,2,1,33,164,31,120,13,0
GA,Lee,56,0,5,4,47,516,76,419,21,0
GA,Liberty,164,3,1,5,155,232,60,147,25,0
GA,Long,16,1,5,1,9,151,61,76,14,0
GA,Madison,90,0,3,3,84,405,60,311,34,0
GA,Marion,4,0,0,0,4,39,8,31,0,0
GA,McDuffie,50,3,4,3,40,196,80,100,16,
GA,McIntosh,35,2,3,4,26,247,53,176,18,1
GA,Meriwether,51,3,0,1,47,287,56,214,17,0
GA,Monroe,22,0,2,2,18,314,64,231,19,0
GA,Murray,36,0,0,1,35,56,10,38,8,1
GA,Muscogee,56,0,0,1,55,33,1,30,2,0
GA,Newton,305,4,14,36,251,1565,327,974,264,13
GA,Oconee,21,0,0,1,20,442,35,386,21,0
GA,Oglethorpe,40,0,1,3,36,165,35,120,10,1
GA,Paulding,185,1,8,21,155,2083,347,1456,280,9
GA,Peach,23,0,3,2,18,214,47,147,20,0
GA,Pickens,76,0,8,1,67,383,91,253,39,0
GA,Pike,19,0,1,4,14,218,32,178,8,0
GA,Rockdale,167,5,20,31,111,1319,175,1041,103,
GA,Spalding,134,0,3,16,115,810,180,538,92,
GA,Talbot,13,0,1,1,11,47,14,28,5,0
GA,Twiggs,15,0,2,1,12,99,28,59,12,2
GA,Walton,69,1,12,14,42,599,116,408,75,1
GA,Whitfield,159,1,11,11,136,1327,358,852,117,
GA,Bacon,15,0,1,0,14,163,62,98,3,0
GA,Baldwin,259,1,8,6,244,646,123,481,42,1
GA,Banks,52,0,8,1,43,395,95,279,21,0
GA,Ben Hill,22,0,0,2,20,167,51,99,17,0
GA,Berrien,32,0,2,2,28,229,58,161,10,0
GA,Bleckley,9,0,3,1,5,109,24,82,3,0
GA,Bulloch,38,1,4,7,26,550,107,400,43,0
GA,Calhoun,1,0,0,0,1,5,3,2,0,0
GA,Candler,9,0,3,1,5,100,28,70,2,0
GA,Charlton,21,4,0,0,17,119,52,51,16,0
GA,Chattooga,5,0,1,0,4,86,14,70,2,0
GA,Clay,10,0,1,0,9,16,1,14,1,0
GA,Clinch,10,1,1,0,8,63,29,27,7,0
GA,Coffee,93,1,10,4,78,563,165,320,78,3
GA,Cook,43,0,0,1,42,133,43,77,13,0
GA,Crisp,9,0,2,1,6,370,49,302,19,0
GA,Decatur,48,0,5,2,41,246,66,165,15,0
GA,Dodge,32,2,2,6,22,178,68,92,18,0
GA,Dooly,2,0,0,0,2,94,22,64,8,0
GA,Early,12,0,0,0,12,98,39,58,1,0
GA,Elbert,19,0,5,3,11,266,68,187,11,0
GA,Emanuel,1,1,0,0,0,216,48,145,23,0
GA,Evans,8,0,0,0,8,33,8,15,10,0
GA,Fannin,23,1,4,2,16,204,56,125,23,5
GA,Gilmer,66,0,8,1,57,382,110,239,33,0
GA,Glascock,3,0,0,1,2,28,6,20,2,0
GA,Grady,40,0,2,0,38,180,48,111,21,0
GA,Greene,10,1,2,0,7,112,21,85,6,0
GA,Habersham,27,0,7,1,19,324,134,164,26,0
GA,Hancock,12,0,0,2,10,88,31,53,4,0
GA,Irwin,8,0,1,1,6,119,22,84,13,
GA,Jeff Davis,16,0,0,0,16,115,28,77,10,0
GA,Jefferson,32,0,3,0,29,80,26,49,5,0
GA,Laurens,92,1,11,10,70,547,146,339,62,0
GA,Mitchell,35,0,1,1,33,246,46,179,21,0
GA,Pierce,37,1,3,1,32,247,68,175,4,0
GA,Polk,0,0,0,0,0,0,0,0,0,0
GA,Polk County Police Department,52,0,4,2,46,543,167,319,57,0
GA,Pulaski,61,2,0,4,55,226,68,147,11,0
GA,Rabun,14,0,1,2,11,210,51,154,5,0
GA,Randolph,3,0,0,0,3,29,11,16,2,0
GA,Schley,4,1,0,0,3,11,2,8,1,2
GA,Seminole,10,1,1,0,8,64,13,48,3,1
GA,Stephens,15,0,4,2,9,280,84,188,8,
GA,Sumter,30,1,4,1,24,179,55,111,13,0
GA,Taylor,7,0,0,0,7,47,21,24,2,0
GA,Thomas,45,0,6,9,30,463,117,305,41,4
GA,Toombs,12,0,0,1,11,140,44,77,19,0
GA,Towns,35,0,2,0,33,148,33,108,7,0
GA,Treutlen,8,0,1,4,3,42,20,22,0,
GA,Troup,65,0,6,11,48,602,115,409,78,
GA,Turner,1,0,0,0,1,46,23,17,6,
GA,Union,14,0,3,0,11,239,49,161,29,1
GA,Upson,22,0,1,2,19,303,48,223,32,
GA,Ware,93,0,2,3,88,625,133,462,30,
GA,Warren,2,0,1,1,0,32,6,18,8,
GA,Wayne,135,1,10,9,115,730,171,531,28,0
GA,Webster,2,0,0,0,2,1,1,0,0,0
GA,White,28,1,2,0,25,118,32,81,5,0
GA,Wilkes,23,1,0,1,21,18,10,5,3,0
GA,Wilkinson,9,0,0,1,8,40,17,20,3,2
