State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
ID,Ada,220,0,40,5,175,659,125,491,43,6
ID,Bannock,3,0,1,0,2,48,9,30,9,0
ID,Boise,22,0,6,0,16,67,24,38,5,0
ID,Bonneville,99,2,14,2,81,532,146,350,36,2
ID,Butte,1,0,0,0,1,6,0,6,0,0
ID,Canyon,116,1,26,3,86,511,176,251,84,4
ID,Franklin,4,0,0,0,4,28,3,24,1,0
ID,Gem,16,0,1,1,14,42,14,23,5,0
ID,Jefferson,6,0,1,0,5,101,18,68,15,1
ID,Jerome,11,0,0,0,11,97,26,62,9,1
ID,Kootenai,103,3,18,2,80,835,157,623,55,7
ID,Nez Perce,15,1,3,0,11,62,15,40,7,0
ID,Power,4,0,0,0,4,30,5,22,3,0
ID,Twin Falls,40,0,10,0,30,213,102,99,12,1
ID,Bingham,37,1,5,2,29,166,38,110,18,2
ID,Blaine,16,0,4,0,12,25,7,18,0,1
ID,Camas,1,0,0,0,1,8,0,8,0,0
ID,Caribou,2,0,0,0,2,4,1,3,0,0
ID,Elmore,27,0,4,0,23,59,19,35,5,2
ID,Gooding,6,0,1,0,5,63,20,33,10,1
ID,Idaho,20,0,2,1,17,82,26,49,7,0
ID,Latah,14,0,4,0,10,131,39,82,10,0
ID,Madison,16,1,9,0,6,45,11,29,5,0
ID,Minidoka,32,2,3,0,27,129,41,77,11,2
ID,Oneida,5,0,0,1,4,43,18,20,5,0
ID,Payette,21,0,2,0,19,98,17,70,11,0
ID,Shoshone,18,0,3,0,15,146,41,99,6,0
ID,Teton,10,0,3,0,7,64,6,53,5,0
ID,Valley,15,0,7,0,8,70,22,47,1,1
