State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
IL,Alexander,7,0,0,1,6,38,10,24,4,0
IL,Bond,2,0,0,0,2,80,20,58,2,0
IL,Boone,43,1,17,1,24,160,39,112,9,1
IL,Champaign,106,0,29,3,74,370,105,239,26,4
IL,Clinton,10,0,1,0,9,38,12,15,11,0
IL,Cook,216,1,73,27,115,1068,162,773,133,12
IL,DeKalb,16,1,5,1,9,51,28,20,3,2
IL,DuPage,82,3,18,12,49,566,129,380,57,2
IL,Fulton,13,0,5,0,8,141,40,90,11,1
IL,Grundy,17,0,5,1,11,111,30,75,6,0
IL,Henry,3,0,0,0,3,62,12,46,4,0
IL,Jackson,23,0,7,0,16,291,94,174,23,0
IL,Jersey,23,0,9,0,14,105,38,57,10,0
IL,Kane,75,0,29,3,43,224,74,123,27,2
IL,Kankakee,47,2,12,2,31,295,111,149,35,4
IL,Kendall,47,1,9,5,32,140,60,73,7,2
IL,Macon,39,0,5,1,33,355,71,275,9,2
IL,Macoupin,25,3,2,1,19,255,59,177,19,0
IL,Madison,145,2,29,12,102,953,234,639,80,4
IL,Marshall,4,0,1,1,2,36,19,13,4,1
IL,McHenry,91,0,20,2,69,345,80,235,30,0
IL,McLean,31,0,9,1,21,103,18,71,14,0
IL,Menard,8,0,2,0,6,27,10,14,3,7
IL,Monroe,7,0,2,1,4,58,17,35,6,0
IL,Peoria,103,2,23,10,68,794,182,557,55,11
IL,Piatt,21,0,3,1,17,27,14,10,3,1
IL,Rock Island,58,0,9,4,45,309,72,209,28,1
IL,Sangamon,181,1,19,13,148,724,217,427,80,2
IL,Stark,9,0,1,0,8,44,10,31,3,1
IL,St. Clair,111,2,19,9,81,844,213,563,68,7
IL,Vermilion,87,3,20,5,59,414,139,256,19,0
IL,Will,118,5,28,18,67,623,152,394,77,6
IL,Winnebago,142,7,38,12,85,536,175,313,48,3
IL,Woodford,6,0,2,1,3,84,14,66,4,3
IL,Adams,30,0,15,0,15,165,64,93,8,0
IL,Brown,4,0,0,0,4,10,5,5,0,0
IL,Bureau,19,0,5,2,12,128,42,79,7,0
IL,Carroll,7,0,0,0,7,27,13,14,0,0
IL,Cass,4,0,0,2,2,4,1,3,0,0
IL,Clark,6,0,1,0,5,37,19,16,2,0
IL,Clay,3,1,0,0,2,52,21,26,5,0
IL,Coles,19,0,7,1,11,98,45,44,9,2
IL,Crawford,8,0,0,1,7,53,24,28,1,0
IL,Cumberland,1,0,0,0,1,27,11,13,3,0
IL,DeWitt,1,0,1,0,0,77,33,44,0,0
IL,Edgar,11,0,5,0,6,52,28,20,4,1
IL,Effingham,14,0,1,2,11,108,16,81,11,1
IL,Fayette,5,0,1,1,3,89,22,57,10,0
IL,Ford,13,1,1,0,11,39,15,24,0,2
IL,Franklin,7,0,0,0,7,280,73,182,25,0
IL,Gallatin,4,0,0,0,4,52,14,37,1,0
IL,Greene,13,0,0,0,13,14,4,10,0,0
IL,Hancock,7,0,1,0,6,118,29,87,2,0
IL,Iroquois,11,0,0,2,9,151,59,80,12,1
IL,Jasper,1,0,0,0,1,8,5,1,2,0
IL,Jefferson,57,1,3,5,48,236,84,135,17,2
IL,Jo Daviess,12,0,5,1,6,86,16,64,6,1
IL,Knox,51,1,11,1,38,155,55,87,13,0
IL,Lee,29,0,0,0,29,126,48,72,6,1
IL,Livingston,28,0,5,0,23,89,25,53,11,1
IL,Logan,9,0,2,0,7,47,21,21,5,0
IL,Marion,30,0,13,0,17,190,81,84,25,0
IL,Mason,13,0,7,0,6,87,24,59,4,0
IL,Massac,10,0,0,0,10,116,43,67,6,9
IL,McDonough,11,0,1,0,10,31,12,18,1,0
IL,Montgomery,21,0,1,0,20,174,63,109,2,2
IL,Morgan,28,0,16,0,12,101,36,65,0,0
IL,Ogle,17,0,3,2,12,102,23,69,10,1
IL,Perry,11,0,0,0,11,78,24,44,10,0
IL,Pike,10,0,2,0,8,41,15,25,1,0
IL,Putnam,1,1,0,0,0,13,2,10,1,0
IL,Randolph,1,0,0,0,1,19,6,13,0,0
IL,Richland,15,0,3,0,12,87,46,36,5,0
IL,Saline,31,0,0,1,30,127,30,83,14,3
IL,Schuyler,3,0,1,0,2,2,0,2,0,0
IL,Scott,1,0,1,0,0,15,7,7,1,0
IL,Shelby,5,0,5,0,0,41,20,20,1,1
IL,Stephenson,13,0,9,0,4,125,23,94,8,0
IL,Union,17,0,5,0,12,85,23,49,13,0
IL,Wabash,0,0,0,0,0,7,0,5,2,1
IL,White,22,0,4,0,18,161,37,120,4,0
IL,Whiteside,27,0,9,1,17,94,29,51,14,0
