State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
KS,Butler,43,0,6,3,34,431,127,263,41,2
KS,Geary,21,0,2,0,19,27,9,18,0,0
KS,Harvey,7,0,1,0,6,68,33,30,5,2
KS,Jackson,33,1,6,0,26,129,25,90,14,3
KS,Jefferson,29,1,6,1,21,189,38,134,17,2
KS,Johnson,61,0,6,1,54,203,33,146,24,4
KS,Leavenworth,52,2,5,2,43,201,75,90,36,5
KS,Miami,43,0,6,0,37,177,51,100,26,2
KS,Osage,10,0,5,0,5,59,20,34,5,1
KS,Pottawatomie,33,1,0,0,32,199,45,134,20,2
KS,Riley County Police Department,251,1,57,28,165,1283,165,1029,89,16
KS,Sedgwick,134,4,11,9,110,528,169,275,84,6
KS,Shawnee,93,0,7,6,80,956,230,607,119,10
KS,Sumner,22,1,1,4,16,176,68,90,18,1
KS,Allen,9,0,2,0,7,53,18,34,1,2
KS,Anderson,8,0,0,0,8,40,8,27,5,1
KS,Atchison,3,0,0,0,3,22,2,16,4,0
KS,Bourbon,26,0,2,1,23,54,19,30,5,5
KS,Brown,4,0,0,0,4,8,3,4,1,1
KS,Cherokee,29,0,6,0,23,153,63,73,17,5
KS,Cheyenne,4,0,2,0,2,26,7,17,2,0
KS,Clark,3,0,0,0,3,11,2,7,2,1
KS,Clay,3,0,1,0,2,14,6,8,0,0
KS,Cloud,3,0,2,0,1,49,20,21,8,2
KS,Comanche,1,0,1,0,0,10,2,6,2,0
KS,Cowley,33,0,9,2,22,123,42,69,12,1
KS,Dickinson,19,1,4,0,14,108,31,58,19,4
KS,Edwards,3,0,0,0,3,22,9,12,1,0
KS,Ellis,10,0,2,0,8,48,15,31,2,2
KS,Ellsworth,6,0,3,0,3,34,9,22,3,1
KS,Finney,33,1,7,2,23,150,49,94,7,0
KS,Ford,13,0,0,0,13,65,27,28,10,0
KS,Franklin,40,0,3,0,37,154,43,95,16,2
KS,Grant,2,0,0,1,1,20,5,11,4,0
KS,Gray,4,0,3,0,1,59,12,43,4,0
KS,Greenwood,14,0,4,0,10,72,13,51,8,0
KS,Hamilton,3,0,1,0,2,27,8,17,2,0
KS,Haskell,6,0,0,0,6,30,8,20,2,0
KS,Kearny2,19,0,3,0,16,,,70,10,0
KS,Kingman,2,0,0,0,2,70,21,43,6,0
KS,Kiowa,2,0,1,0,1,27,8,19,0,0
KS,Labette,19,0,1,0,18,48,12,35,1,0
KS,Logan,3,0,0,0,3,15,6,9,0,0
KS,Lyon,16,0,2,1,13,61,14,41,6,1
KS,Marion,27,0,1,1,25,43,18,17,8,1
KS,Marshall,2,0,0,0,2,16,8,4,4,0
KS,Mitchell,3,0,0,0,3,12,6,5,1,0
KS,Montgomery,17,0,3,0,14,132,52,70,10,1
KS,Morton,1,0,0,0,1,24,10,12,2,0
KS,Nemaha,1,0,0,0,1,34,11,21,2,2
KS,Neosho,21,0,4,0,17,66,27,27,12,2
KS,Ness,4,0,0,0,4,33,7,22,4,0
KS,Norton,1,0,0,0,1,18,3,10,5,1
KS,Ottawa,2,1,0,0,1,42,14,26,2,2
KS,Pawnee,2,0,0,0,2,18,12,6,0,0
KS,Phillips,4,0,0,0,4,0,0,0,0,1
KS,Pratt,4,0,2,0,2,28,12,14,2,0
KS,Reno,26,0,5,0,21,235,67,133,35,3
KS,Republic,1,0,0,0,1,36,8,24,4,0
KS,Rice,6,0,0,1,5,37,17,17,3,0
KS,Rooks,6,0,0,0,6,16,7,8,1,8
KS,Rush,3,0,0,0,3,54,17,31,6,0
KS,Russell,29,0,2,1,26,45,14,25,6,0
KS,Saline,26,1,3,0,22,106,31,65,10,3
KS,Seward,3,0,1,0,2,12,3,6,3,0
KS,Sherman,0,0,0,0,0,1,0,1,0,0
KS,Smith,2,1,0,0,1,5,1,2,2,0
KS,Stafford,5,0,0,0,5,32,15,13,4,0
KS,Thomas,8,0,0,0,8,50,14,32,4,1
KS,Trego,0,0,0,0,0,16,5,10,1,1
KS,Washington,4,0,0,0,4,5,1,3,1,0
KS,Wilson,19,0,3,0,16,50,13,28,9,0
KS,Woodson,2,0,0,0,2,49,21,26,2,0
