State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
KS,Allen,6,0,2,1,3,137,55,64,18,1
KS,Boone,56,0,23,12,21,824,142,579,103,1
KS,Bourbon,2,0,0,0,2,45,16,25,4,0
KS,Boyd,13,0,3,3,7,184,62,91,31,0
KS,Bracken,3,0,0,0,3,46,20,18,8,0
KS,Bullitt,29,1,8,3,17,371,100,203,68,0
KS,Butler,1,0,0,0,1,56,19,30,7,0
KS,Campbell,1,0,0,0,1,0,0,0,0,0
KS,Campbell County Police Department,20,0,11,1,8,141,35,93,13,0
KS,Carter,6,0,1,1,4,71,25,24,22,0
KS,Christian,23,1,5,2,15,325,114,172,39,1
KS,Clark,10,0,3,2,5,158,68,73,17,0
KS,Daviess,14,2,4,4,4,395,104,249,42,0
KS,Edmonson,5,0,1,1,3,28,7,13,8,1
KS,Fayette,0,0,0,0,0,0,0,0,0,0
KS,Gallatin,5,0,1,0,4,43,12,21,10,0
KS,Grant,12,0,3,0,9,115,37,65,13,1
KS,Greenup,5,0,0,0,5,33,14,13,6,1
KS,Hancock,0,0,0,0,0,9,3,5,1,0
KS,Hardin,5,3,0,0,2,160,56,86,18,0
KS,Henderson,20,0,8,1,11,148,41,93,14,0
KS,Henry,1,0,0,0,1,7,3,3,1,0
KS,Jefferson,0,0,0,0,0,1,1,0,0,0
KS,Jessamine,13,1,5,1,6,231,84,133,14,1
KS,Kenton,0,0,0,0,0,3,0,3,0,0
KS,Kenton County Police Department,12,0,9,1,2,113,28,80,5,1
KS,Larue,5,0,1,1,3,45,20,18,7,0
KS,McLean,6,0,3,0,3,45,20,22,3,0
KS,Meade,5,0,0,2,3,144,49,54,41,1
KS,Oldham,0,0,0,0,0,4,0,4,0,0
KS,Oldham County Police Department,25,0,10,5,10,332,90,212,30,3
KS,Pendleton,7,0,0,0,7,62,17,36,9,0
KS,Scott,10,0,1,5,4,157,37,99,21,0
KS,Shelby,17,0,1,4,12,253,46,189,18,0
KS,Spencer,0,0,0,0,0,70,27,39,4,0
KS,Trigg,4,0,2,0,2,92,49,36,7,1
KS,Warren,44,1,14,4,25,421,156,229,36,2
KS,Woodford,2,0,0,1,1,26,5,20,1,0
KS,Adair,4,0,1,0,3,11,2,4,5,0
KS,Anderson,4,0,0,0,4,53,22,24,7,1
KS,Ballard,4,0,1,0,3,78,34,37,7,2
KS,Barren,18,1,1,4,12,120,61,42,17,1
KS,Bath,0,0,0,0,0,11,2,4,5,0
KS,Bell,12,0,2,1,9,136,43,74,19,4
KS,Boyle,5,0,2,0,3,38,19,10,9,0
KS,Breathitt,0,0,0,0,0,2,0,1,1,0
KS,Breckinridge,3,0,1,0,2,13,0,8,5,0
KS,Caldwell,2,0,0,0,2,38,15,19,4,1
KS,Calloway,14,1,8,0,5,245,105,114,26,1
KS,Carlisle,1,0,0,0,1,15,8,5,2,0
KS,Carroll,2,0,0,0,2,6,2,3,1,0
KS,Casey,3,0,0,2,1,23,9,10,4,0
KS,Clay,4,0,0,0,4,81,22,26,33,2
KS,Clinton,3,0,0,0,3,17,3,6,8,0
KS,Crittenden,2,0,0,0,2,19,6,7,6,0
KS,Cumberland,0,0,0,0,0,7,5,2,0,0
KS,Fleming,2,0,0,0,2,19,2,12,5,0
KS,Floyd,4,0,0,0,4,47,17,22,8,0
KS,Franklin,30,1,8,5,16,260,81,149,30,0
KS,Fulton,0,0,0,0,0,5,1,3,1,0
KS,Garrard County Police Department,4,0,0,0,4,73,22,41,10,0
KS,Graves,24,1,7,3,13,281,108,146,27,4
KS,Grayson,12,0,2,0,10,65,14,41,10,0
KS,Green,1,0,0,0,1,5,2,2,1,0
KS,Harlan,7,0,0,0,7,27,12,13,2,0
KS,Harrison,1,0,0,0,1,86,38,38,10,0
KS,Hart,3,0,0,0,3,40,12,22,6,0
KS,Hickman,1,0,0,0,1,8,2,3,3,1
KS,Hopkins,16,0,4,1,11,267,90,133,44,5
KS,Jackson,2,0,1,0,1,61,26,18,17,0
KS,Johnson,9,0,3,0,6,45,12,13,20,0
KS,Knott,0,0,0,0,0,16,3,8,5,0
KS,Knox,19,0,0,3,16,142,70,34,38,2
KS,Laurel,36,2,8,5,21,503,142,255,106,1
KS,Lawrence,2,0,0,0,2,34,18,6,10,0
