State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
MI,Bay,59,4,14,8,33,443,63,353,27,8
MI,Berrien,128,1,38,5,84,606,177,398,31,2
MI,Calhoun,122,0,30,3,89,636,188,417,31,3
MI,Clinton,21,0,9,1,11,117,42,65,10,0
MI,Eaton,151,1,44,29,77,1010,166,783,61,4
MI,Genesee,99,0,16,3,80,363,62,274,27,2
MI,Ingham,160,0,46,8,106,546,131,382,33,1
MI,Ionia,72,1,37,1,33,242,58,167,17,2
MI,Jackson,179,2,39,3,135,466,69,351,46,1
MI,Kalamazoo,275,2,45,43,185,2756,564,2004,188,16
MI,Kent,415,8,157,43,207,2419,361,1926,132,15
MI,Lapeer,51,0,22,0,29,286,89,178,19,4
MI,Livingston,82,0,36,8,38,483,113,347,23,3
MI,Macomb,321,2,62,21,236,1081,152,826,103,7
MI,Midland,54,0,27,0,27,252,64,174,14,0
MI,Monroe,192,1,69,16,106,1287,291,889,107,13
MI,Montcalm,21,0,13,0,8,130,21,99,10,2
MI,Muskegon,83,0,34,6,43,591,97,458,36,2
MI,Oakland,25,0,12,0,13,30,3,23,4,2
MI,Ottawa,550,3,227,23,297,2242,433,1718,91,19
MI,Saginaw,115,4,30,6,75,504,77,406,21,2
MI,Shiawassee,18,0,5,0,13,167,35,112,20,0
MI,St. Clair,242,1,40,4,197,684,165,467,52,10
MI,Washtenaw,524,6,70,47,401,1359,287,941,131,17
MI,Wayne,1,0,0,0,1,4,0,4,0,0
MI,Alcona,10,0,5,1,4,52,14,36,2,0
MI,Alger,0,0,0,0,0,2,0,2,0,0
MI,Allegan,90,0,9,2,79,535,109,364,62,3
MI,Alpena,14,0,4,0,10,73,15,58,0,0
MI,Antrim,27,1,9,0,17,129,52,68,9,1
MI,Arenac,35,0,6,1,28,65,20,37,8,1
MI,Baraga,4,0,0,0,4,22,6,12,4,0
MI,Barry,63,0,31,3,29,295,76,203,16,2
MI,Benzie,21,0,6,0,15,61,11,46,4,1
MI,Branch,9,0,5,1,3,105,56,46,3,0
MI,Charlevoix,18,0,6,0,12,78,22,52,4,0
MI,Cheboygan,20,0,13,0,7,37,10,26,1,1
MI,Chippewa,7,0,1,0,6,29,11,17,1,0
MI,Clare,71,0,21,0,50,256,93,146,17,1
MI,Crawford,11,0,5,0,6,70,22,34,14,0
MI,Delta,7,0,4,0,3,58,7,44,7,0
MI,Emmet,47,0,12,1,34,107,12,90,5,1
MI,Gladwin,27,0,6,1,20,124,38,77,9,0
MI,Gogebic,4,0,0,1,3,105,91,13,1,0
MI,Grand Traverse,133,1,35,3,94,487,50,419,18,9
MI,Gratiot,38,0,20,1,17,252,35,213,4,1
MI,Hillsdale,37,3,7,0,27,111,36,64,11,0
MI,Houghton,3,0,1,0,2,59,15,40,4,0
MI,Huron,17,0,5,0,12,81,24,56,1,1
MI,Iosco,4,0,0,0,4,5,2,3,0,0
MI,Iron,12,0,4,0,8,18,4,14,0,0
MI,Isabella,39,1,10,1,27,262,68,180,14,3
MI,Kalkaska,46,0,0,0,46,156,30,122,4,0
MI,Keweenaw,3,0,0,0,3,8,2,6,0,0
MI,Lake,44,0,13,2,29,201,65,128,8,6
MI,Leelanau,5,0,1,0,4,40,12,26,2,0
MI,Lenawee,24,0,10,0,14,212,60,141,11,1
MI,Luce,22,0,5,0,17,69,24,44,1,1
MI,Mackinac,11,1,4,0,6,121,22,96,3,0
MI,Manistee,39,0,14,0,25,150,19,128,3,0
MI,Marquette,14,0,2,0,12,165,12,151,2,1
MI,Mason,17,0,5,3,9,119,30,80,9,0
MI,Mecosta,208,1,23,2,182,326,61,253,12,9
MI,Menominee,20,0,9,0,11,80,28,44,8,0
MI,Missaukee,39,0,16,0,23,99,21,78,0,1
MI,Newaygo,55,0,18,0,37,241,57,158,26,5
MI,Oceana,45,0,6,0,39,154,25,124,5,0
MI,Ogemaw,17,0,3,0,14,107,17,85,5,0
MI,Ontonagon,14,0,0,0,14,8,2,6,0,0
MI,Osceola,22,0,2,2,18,101,27,65,9,2
MI,Oscoda,25,0,3,1,21,80,13,59,8,0
MI,Otsego,15,1,5,0,9,49,17,32,0,0
MI,Presque Isle,13,0,7,0,6,36,11,24,1,0
MI,Roscommon,15,0,7,1,7,98,14,80,4,1
MI,Sanilac,52,2,11,1,38,122,47,58,17,4
MI,Schoolcraft,0,0,0,0,0,2,1,1,0,0
MI,St. Joseph,84,1,11,0,72,225,72,133,20,5
MI,Tuscola,51,1,21,0,29,153,46,94,13,0
MI,Van Buren,110,2,30,2,76,460,155,268,37,8
MI,Wexford,39,0,11,2,26,188,33,147,8,2
