RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
61639,10025,1,"New York, NY",3012,3025,3037,3049,3062,3074,3087,3099,3111,3123,3135,3146,3158,3167,3175,3184,3189,3194,3199,3202,3206,3210,3214,3217,3221,3223,3226,3228,3230,3232,3234,3233,3232,3231,3231,3231,3230,3231,3232,3233,3232,3230,3229,3227,3225,3223,3223,3222,3221,3222,3222,3223,3225,3227,3229,3232,3235,3238,3243,3248,3252,3259,3266,3273,3283,3292,3302,3310,3318,3326,3318,3311,3303,3268,3234,3199,3162,3125,3088,3048,3008,2968,2925
84654,60657,2,"Chicago, IL",1588,1594,1599,1605,1610,1615,1620,1626,1631,1636,1641,1646,1651,1656,1660,1665,1669,1673,1678,1682,1687,1691,1696,1701,1706,1711,1716,1721,1725,1730,1735,1739,1743,1748,1751,1754,1757,1759,1761,1763,1764,1766,1767,1769,1771,1772,1774,1775,1776,1776,1777,1777,1777,1777,1776,1777,1778,1779,1782,1784,1787,1792,1796,1801,1807,1814,1820,1825,1830,1836,1837,1838,1839,1834,1829,1824,1818,1813,1807,1801,1795,1788,1781
61637,10023,3,"New York, NY",3114,3123,3131,3140,3148,3156,3164,3171,3179,3186,3191,3196,3200,3204,3208,3212,3218,3224,3230,3236,3243,3250,3255,3260,3266,3266,3266,3267,3263,3260,3257,3254,3251,3248,3249,3249,3250,3252,3253,3255,3256,3256,3257,3256,3255,3255,3254,3252,3251,3253,3254,3256,3260,3264,3268,3272,3276,3280,3285,3290,3294,3300,3307,3313,3321,3328,3336,3343,3349,3355,3350,3344,3338,3307,3275,3244,3211,3178,3144,3108,3072,3035,2997
91982,77494,4,"Houston, TX",1759,1763,1766,1770,1773,1776,1779,1782,1785,1788,1790,1792,1793,1793,1793,1794,1792,1791,1790,1786,1782,1779,1773,1768,1762,1756,1750,1743,1737,1731,1725,1721,1717,1713,1711,1709,1707,1707,1707,1707,1710,1713,1717,1721,1726,1731,1734,1738,1742,1744,1746,1748,1748,1748,1749,1749,1749,1749,1751,1752,1754,1756,1758,1761,1763,1764,1766,1768,1769,1770,1771,1772,1772,1775,1777,1780,1782,1785,1788,1791,1794,1796,1799
84616,60614,5,"Chicago, IL",1740,1745,1750,1755,1759,1764,1768,1772,1776,1781,1785,1790,1794,1799,1804,1809,1815,1821,1828,1836,1845,1854,1862,1870,1878,1883,1889,1895,1898,1902,1905,1908,1910,1913,1914,1916,1918,1919,1920,1921,1924,1927,1929,1933,1937,1940,1943,1945,1948,1949,1951,1952,1954,1955,1957,1959,1962,1964,1968,1971,1975,1980,1986,1991,1998,2004,2011,2015,2020,2025,2026,2028,2030,2023,2017,2010,2003,1995,1988,1979,1970,1962,1952
91940,77449,6,"Houston, TX",1285,1291,1297,1303,1309,1315,1320,1326,1332,1338,1343,1349,1354,1359,1363,1368,1372,1376,1380,1384,1387,1391,1393,1395,1397,1397,1398,1398,1398,1397,1397,1396,1396,1395,1395,1394,1394,1394,1395,1396,1399,1402,1406,1410,1415,1420,1425,1431,1436,1440,1444,1448,1450,1452,1454,1455,1456,1457,1459,1460,1461,1463,1465,1467,1470,1473,1475,1479,1482,1485,1489,1493,1496,1501,1506,1512,1517,1522,1527,1532,1538,1543,1548
61616,10002,7,"New York, NY",2708,2723,2737,2751,2765,2779,2793,2807,2821,2835,2847,2860,2872,2882,2892,2903,2909,2916,2923,2927,2932,2937,2943,2949,2955,2961,2968,2975,2981,2987,2994,3000,3006,3011,3014,3017,3020,3020,3020,3020,3018,3017,3015,3016,3017,3017,3022,3026,3030,3036,3043,3049,3056,3063,3069,3074,3079,3084,3088,3093,3098,3106,3114,3122,3133,3143,3154,3164,3174,3184,3181,3178,3175,3139,3103,3068,3030,2992,2954,2912,2870,2829,2784
91733,77084,8,"Houston, TX",1119,1128,1137,1145,1154,1163,1171,1180,1188,1196,1203,1209,1216,1220,1224,1229,1232,1236,1239,1242,1245,1248,1250,1252,1254,1255,1256,1257,1257,1256,1256,1256,1256,1255,1255,1256,1256,1258,1259,1261,1264,1268,1271,1275,1278,1282,1286,1290,1294,1299,1303,1307,1310,1314,1318,1321,1325,1328,1331,1335,1338,1340,1341,1343,1343,1344,1344,1345,1347,1348,1350,1351,1353,1356,1360,1364,1367,1371,1374,1378,1381,1385,1389
93144,79936,9,"El Paso, TX",990,988,985,983,981,979,977,975,973,972,972,972,972,974,976,978,979,980,980,981,981,982,982,982,982,983,984,984,986,988,990,992,993,994,995,995,995,995,995,995,994,993,992,991,991,990,990,990,991,991,992,992,993,993,994,995,996,998,999,1001,1002,1005,1007,1009,1013,1017,1021,1025,1029,1033,1038,1042,1047,1052,1057,1062,1067,1072,1077,1082,1087,1093,1098
84640,60640,10,"Chicago, IL",1295,1297,1299,1301,1303,1305,1307,1308,1310,1312,1315,1318,1321,1326,1331,1335,1340,1346,1351,1356,1362,1367,1372,1377,1382,1385,1389,1392,1395,1397,1400,1403,1406,1409,1412,1415,1418,1419,1421,1423,1424,1425,1426,1427,1429,1430,1432,1433,1435,1438,1440,1443,1447,1450,1454,1457,1460,1463,1466,1468,1471,1474,1477,1481,1483,1486,1489,1491,1493,1494,1494,1494,1494,1491,1488,1486,1483,1480,1477,1473,1470,1467,1463
